GEOID,NAME,variable,year_2016,year_2021,pct_points_change
4149450,"Molalla city, Oregon",Native,0.73,0.43,-0.31
4149450,"Molalla city, Oregon",Two_races,1.30,2.52,1.23
4149450,"Molalla city, Oregon",White,81.66,88.76,7.10
4150236,"Mount Hood Villages CDP, Oregon",Asian,NA,1.13,NA
4150236,"Mount Hood Villages CDP, Oregon",Black,NA,0.00,NA
4150236,"Mount Hood Villages CDP, Oregon",HIPI,NA,0.32,NA
4150236,"Mount Hood Villages CDP, Oregon",Hispanic,NA,3.68,NA
4150236,"Mount Hood Villages CDP, Oregon",Native,NA,0.00,NA
4150236,"Mount Hood Villages CDP, Oregon",Two_races,NA,3.61,NA
4150236,"Mount Hood Villages CDP, Oregon",White,NA,91.02,NA
4150450,"Mulino CDP, Oregon",Asian,1.39,1.33,-0.06
4150450,"Mulino CDP, Oregon",Black,0.00,0.00,0.00
4150450,"Mulino CDP, Oregon",HIPI,0.00,0.00,0.00
4150450,"Mulino CDP, Oregon",Hispanic,7.83,0.36,-7.47
4150450,"Mulino CDP, Oregon",Native,0.00,4.71,4.71
4150450,"Mulino CDP, Oregon",Two_races,6.47,0.62,-5.85
4150450,"Mulino CDP, Oregon",White,84.30,92.98,8.68
4153150,"North Plains city, Oregon",Asian,2.03,7.10,5.08
4153150,"North Plains city, Oregon",Black,0.00,7.47,7.47
4153150,"North Plains city, Oregon",HIPI,0.00,0.49,0.49
4153150,"North Plains city, Oregon",Hispanic,11.49,14.02,2.54
4153150,"North Plains city, Oregon",Native,2.32,0.64,-1.68
4153150,"North Plains city, Oregon",Two_races,4.58,8.78,4.20
4153150,"North Plains city, Oregon",White,80.36,65.40,-14.96
4153900,"Oak Grove CDP, Oregon",Asian,0.81,1.30,0.49
4153900,"Oak Grove CDP, Oregon",Black,1.92,1.04,-0.89
4153900,"Oak Grove CDP, Oregon",HIPI,0.22,0.06,-0.16
4153900,"Oak Grove CDP, Oregon",Hispanic,7.95,10.48,2.53
4153900,"Oak Grove CDP, Oregon",Native,0.15,0.45,0.30
4153900,"Oak Grove CDP, Oregon",Two_races,2.62,8.00,5.38
4153900,"Oak Grove CDP, Oregon",White,86.25,80.34,-5.91
4153988,"Oak Hills CDP, Oregon",Asian,13.93,20.79,6.85
4153988,"Oak Hills CDP, Oregon",Black,2.37,1.13,-1.25
4153988,"Oak Hills CDP, Oregon",HIPI,0.28,0.11,-0.17
4153988,"Oak Hills CDP, Oregon",Hispanic,6.63,7.85,1.23
4153988,"Oak Hills CDP, Oregon",Native,0.11,0.26,0.14
4153988,"Oak Hills CDP, Oregon",Two_races,5.52,6.97,1.44
4153988,"Oak Hills CDP, Oregon",White,71.60,64.68,-6.92
4154325,"Oatfield CDP, Oregon",Asian,1.97,3.26,1.29
4154325,"Oatfield CDP, Oregon",Black,1.62,0.85,-0.77
4154325,"Oatfield CDP, Oregon",HIPI,0.24,0.00,-0.24
4154325,"Oatfield CDP, Oregon",Hispanic,6.02,8.03,2.01
4154325,"Oatfield CDP, Oregon",Native,0.37,0.18,-0.18
4154325,"Oatfield CDP, Oregon",Two_races,4.02,5.50,1.48
4154325,"Oatfield CDP, Oregon",White,86.63,83.30,-3.33
4155200,"Oregon City city, Oregon",Asian,1.22,1.18,-0.04
4155200,"Oregon City city, Oregon",Black,0.86,0.44,-0.42
4155200,"Oregon City city, Oregon",HIPI,0.16,0.02,-0.14
4155200,"Oregon City city, Oregon",Hispanic,7.92,4.72,-3.20
4155200,"Oregon City city, Oregon",Native,1.10,0.86,-0.25
4155200,"Oregon City city, Oregon",Two_races,3.76,5.42,1.66
4155200,"Oregon City city, Oregon",White,85.71,88.03,2.32
4155500,"Orient CDP, Oregon",Asian,NA,0.00,NA
4155500,"Orient CDP, Oregon",Black,NA,0.00,NA
4155500,"Orient CDP, Oregon",HIPI,NA,0.00,NA
4155500,"Orient CDP, Oregon",Hispanic,NA,2.33,NA
4155500,"Orient CDP, Oregon",Native,NA,0.00,NA
4155500,"Orient CDP, Oregon",Two_races,NA,2.33,NA
4155500,"Orient CDP, Oregon",White,NA,97.67,NA
4159000,"Portland city, Oregon",Asian,7.49,8.44,0.95
4159000,"Portland city, Oregon",Black,5.56,5.46,-0.10
